hh,WDIR,WSPD,GST,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,WVHT
18,177,9,11,5,4.24,155,1012.1,18.4,15.8,14.6,1.41
19,167,8.7,10.3,4.76,4.06,148,1010.9,18.4,15.8,14.8,1.28
20,166,10.2,12.4,5.56,4.2,149,1010.4,18.7,15.7,15.1,1.37
21,157,8,9.9,5.26,4.41,157,1010.1,18.5,15.7,15.5,1.39
22,160,10.7,12.2,5.26,4.21,159,1008.1,18.7,15.6,15.7,1.22
23,176,9.1,10.4,4.76,4.31,148,1007.8,19.4,15.7,15.6,1.28
0,186,6.9,7.7,5.26,4.23,148,1008,18.8,15.6,15.8,1.2
1,176,4.4,5.4,5.56,4.51,145,1007.9,18.4,15.5,16,1.19
2,344,11,13.5,5.56,4.16,198,1010.4,17.3,15.4,16.7,0.98
3,141,5,6.1,5.26,4.1,138,1010.4,16.7,15.3,16.5,0.96
4,208,3.9,4.5,5.26,4.05,142,1010.8,16.2,15.3,16.2,0.8
5,116,7.2,8.6,4.76,4.01,148,1008,16.6,15.4,16.6,0.7
6,164,10.2,11.9,4.55,3.71,144,1008.1,16.8,15.4,16.8,0.84
7,131,6.6,7.3,4.17,3.69,143,1007.5,17,15.5,17,0.82
8,178,5.3,8.4,5,3.56,150,1006.1,18.6,15.5,17.1,0.7
9,155,9.2,13.6,3.57,3.42,139,1005.5,18.6,15.5,17,0.84
10,185,8.1,9.2,3.85,3.4,149,1006,18.3,15.5,16.8,0.75
11,213,8.4,10.2,4.35,3.68,156,1006.5,18.5,15.5,16.7,0.92
12,235,9,10.3,4.17,3.67,152,1006.7,19,15.5,16,0.93
13,230,6.6,7.4,4.35,3.51,165,1007.1,18,15.6,16,0.79
14,223,7.3,8.1,4,3.48,154,1007,18.1,15.5,15.8,0.68
15,231,6.7,7.5,4,3.61,142,1007.8,17.8,15.4,15.7,0.74
16,220,6.6,7.5,3.7,3.42,143,1008.4,17.5,15.3,15.8,0.59
17,208,5.6,6.6,4.35,3.61,140,1008.9,17.5,15.2,15.9,0.57
18,220,5.4,6.1,4.55,3.76,133,1009.3,17.7,15.1,16.2,0.53
19,211,5.1,6,4.17,3.61,143,1008.9,17.7,15.1,16.4,0.47
20,223,4.4,4.8,4,3.51,148,1009.2,17.9,15.2,16.7,0.43
21,218,3.5,4,3.7,3.4,156,1009.3,17.9,15.3,16.9,0.38
23,252,6.2,7.2,3.7,3.19,167,1009.5,19,15.3,17,0.31
1,268,5.1,7,3.23,3.03,195,1009.5,18,15.3,16.8,0.39
2,204,3.8,4.4,3.57,3.21,185,1010,17.8,15.4,16.8,0.42
3,207,3.1,3.5,3.45,3.21,177,1010.1,17.1,15.4,16.2,0.4
4,212,5.5,6.2,3.45,3.14,174,1010.5,17.3,15.3,16.2,0.37
5,245,5.4,6,3.45,3.07,196,1010.4,17.9,15.3,16.5,0.35
6,241,5.4,5.9,3.57,3.05,191,1010.5,17.4,15.4,16.9,0.32
7,217,4.3,4.6,3.33,2.92,184,1009.8,16.7,15.4,16.6,0.28
8,174,2.7,3.4,3.13,2.81,195,1008.7,16.5,15.4,16.5,0.26
13,288,2.8,3.1,3.33,3.28,198,1011.2,16.8,15.4,16.8,0.38
14,192,2.5,2.8,3.33,3.27,157,1011.2,16.6,15.4,16.6,0.35
15,315,1.5,1.6,3.7,3.27,159,1011,16.9,15.7,16.7,0.31
16,100,2.2,2.6,3.57,3.17,160,1010.8,16.8,15.9,16.6,0.26
22,174,5.2,6.8,2.86,2.65,141,1015.2,18.4,16.7,16.3,0.27
23,51,1.8,3.4,2.86,2.76,129,1015.4,18.7,16.7,16.1,0.3
0,46,2.5,3.1,2.86,2.8,144,1015.5,18.6,16.7,16.2,0.36
1,79,3,3.4,2.94,2.84,170,1015.8,17.8,16.7,16.7,0.29
2,104,2.3,3.1,2.86,2.75,151,1016.4,18.1,16.8,16.9,0.27
6,67,4.1,4.6,3.33,2.86,156,1016.2,17.8,16.7,17,0.25
7,72,3.6,3.9,3.7,3.18,154,1016.5,17.9,16.7,16.8,0.31
8,64,2.6,3,3.85,3.14,153,1016.7,17.6,16.7,17.1,0.29
9,18,2.6,3,3.85,3.08,155,1017.1,17.4,16.7,17.1,0.26
14,40,5.2,5.9,2.74,2.68,70,1019.2,17.5,16.8,16.5,0.32
15,41,3.9,4.5,2.86,2.79,69,1019.1,17.7,17,16.7,0.33
16,32,4.1,4.9,2.94,2.77,62,1019,17.8,17.1,16.8,0.29
17,23,4.9,5.6,2.86,2.72,82,1018.8,18.2,17.2,16.7,0.26
18,20,3.8,4.1,2.94,2.84,82,1018.8,18.2,17.3,16.7,0.28
22,15,5.7,6.4,2.74,2.68,49,1018.1,18.6,17.6,15.3,0.29
23,14,6.3,7.2,3.03,2.87,42,1018.2,18.5,17.5,14.7,0.37
0,14,6.3,7.3,3.23,3.03,39,1017.9,18.2,17.4,14.7,0.43
1,18,7,8.4,3.23,3,39,1018.1,18.1,17.3,14.5,0.48
2,26,5.5,6.2,3.45,3.14,37,1018.3,18.1,17.2,14.6,0.53
3,21,4.7,5.4,3.7,3.41,46,1018.4,18.1,17.2,15,0.56
4,27,5,5.6,3.7,3.32,37,1018.3,18.3,17.1,15.4,0.49
5,36,4.7,5.4,3.7,3.26,40,1018.1,18,17.1,16.1,0.46
6,48,3.7,4.3,3.45,3.19,26,1018.3,18.1,17.1,16.9,0.4
7,58,3.4,3.7,3.85,3.13,10,1018.2,18.4,17,16.8,0.33
8,65,3.8,4.3,4.17,3.09,355,1018,18.7,17.1,16.6,0.27
12,69,4.4,4.9,3.03,2.89,70,1019.6,18.4,17.2,16.8,0.28
13,62,4.1,4.9,3.45,3,82,1019.8,18.5,17.5,17.1,0.31
14,70,4.3,4.9,3.45,3.14,93,1019.8,18.8,17.6,17.3,0.33
15,52,3.8,4.4,3.45,3.17,90,1019.8,18.5,17.8,17.4,0.33
16,50,3.3,3.6,3.45,3.12,96,1020.1,19,18,17.3,0.33
17,39,3.2,3.6,3.33,3.07,95,1020,19.1,18.2,17.5,0.31
18,38,2.7,3.2,3.23,3.05,100,1019.8,19.5,18.4,17.4,0.29
2,35,4.3,4.8,2.74,2.66,37,1019.5,19.5,18.5,17.1,0.28
3,42,3,3.5,2.86,2.84,32,1019.6,19.5,18.4,17.7,0.26
4,53,2.7,3.1,3.13,2.88,24,1019.4,19.5,18.3,17.9,0.26
5,74,2.7,3,3.23,2.99,14,1019.2,19.4,18.2,18.1,0.25
7,26,7.3,11.2,3.03,2.73,300,1010.6,21.5,19.3,17.5,0.31
8,69,4.7,5.7,2.86,2.62,277,1010.4,19.7,19.1,18.2,0.29
9,80,3.5,4,2.74,2.74,342,1011,19.6,19.1,18.4,0.32
10,139,3.4,3.9,3.57,3.35,331,1011,19.6,19.1,18.8,0.5
11,146,3,3.5,3.57,3.59,277,1010.5,20.2,19.1,19,0.55
12,193,3.4,4.3,4.35,3.65,355,1010.5,20.3,19.2,19.2,0.53
13,229,3.6,4.5,4.17,3.39,357,1010.4,20.6,19.3,18.7,0.41
14,293,3.1,3.6,4.76,3.53,343,1010.6,20.1,19.5,19.2,0.39
15,278,2.6,3.1,4.55,3.51,348,1011,20.4,19.8,18.5,0.4
16,356,6,7.5,3.45,3.35,67,1010.8,20,19.9,18.1,0.31
17,10,7.2,8.9,3.45,2.84,56,1011,19.2,19.8,17.9,0.34
18,12,7,8,3.23,3.08,25,1011.1,18.9,19.7,17.9,0.5
19,15,8.2,9.5,3.7,3.17,27,1011,18.5,19.5,17.5,0.65
20,8,6.4,8.2,3.85,3.31,25,1011.3,18.9,19.5,17.1,0.66
21,5,7.9,9.3,3.57,3.34,13,1011,18.7,19.4,16.8,0.71
22,2,5.6,6.5,4.35,3.64,9,1010.8,18.8,19.2,16.7,0.78
23,358,7.7,8.7,5,3.86,27,1011.1,19,19.2,16.6,0.88
0,6,7.1,8.5,5.26,3.94,30,1011.2,19.1,19.1,16.8,0.85
1,7,11.3,13.4,5,3.85,28,1013,18.8,18.8,15.9,1
2,15,5.3,6.3,5.26,4.1,22,1012.8,19,18.6,14.7,1.08
3,351,3.3,4,5.56,4.31,23,1012.7,18.5,18.6,16.1,1.01
4,351,5.8,6.7,5.56,4.38,37,1012.7,18.3,18.6,16,0.89
5,347,6.3,7.7,5.56,4.33,43,1012.9,18.4,18.6,15.8,0.82
6,358,7.6,9,4.55,3.95,37,1013.4,18.1,18.7,14.7,0.73
7,6,8.4,10.2,4.55,3.82,39,1013.5,17.7,18.7,14.6,0.79
8,7,8.2,9.5,4.76,4.06,30,1013.9,17.4,18.7,14.3,0.95
9,10,7.3,8.6,5,4.15,34,1014.5,17.2,18.7,14.1,1.05
10,12,7.2,8.7,5,4.05,28,1014.7,17.4,18.8,13.6,0.99
11,8,6.7,8,5.26,4.07,33,1015.5,17.4,18.8,13.3,0.98
12,5,5.8,6.6,5.26,4.06,35,1016,17.2,18.8,13.3,0.92
13,4,5.3,6.1,5.26,3.98,30,1016.8,17.2,18.7,13,0.89
14,353,5.8,6.8,5.26,4,33,1017.1,17.3,18.8,12.6,0.81
15,339,6,6.9,5.56,3.94,33,1017.5,17.4,18.7,13,0.81
16,346,5.3,6,5.26,3.88,32,1017.7,17.5,18.8,13,0.71
17,333,4.9,5.5,5.56,3.86,32,1017.9,17.7,18.8,12.9,0.7
18,328,5.2,6,5.56,3.93,40,1017.8,18,18.9,13.2,0.68
19,321,4.3,5,5.56,3.83,33,1017.6,18.4,19,12.8,0.6
20,321,3.1,3.9,5.56,4.01,43,1017.4,18.9,19,11.2,0.57
21,334,1,1.4,5.56,3.9,39,1017.1,19.3,19.1,10.3,0.48
22,230,1,1.5,5.26,3.83,8,1016.7,19.6,19.4,10.6,0.44
23,213,2.6,3.3,5.26,3.9,340,1016.7,19.6,19.4,12,0.39
0,220,3.9,4.5,5.56,4,329,1016.7,19.5,19.3,12.3,0.34
1,204,3.4,3.9,5.26,3.97,334,1016.7,19.3,19.2,13.9,0.3
2,221,3.3,3.7,5.26,3.96,332,1017,19.3,19.2,15.4,0.26
6,247,5.7,6.4,2.6,2.71,196,1016.6,19.8,19.1,16.2,0.25
7,245,5.7,6.4,2.6,2.76,203,1016.4,19.8,19.1,16.8,0.33
8,248,5.7,6.7,2.94,2.84,198,1016.5,19.8,19.1,16.4,0.31
9,259,5.2,6.3,3.13,2.96,218,1016.2,19.5,19,16.7,0.33
10,262,5.5,6.2,3.45,3.1,225,1016.4,19.6,19,16.2,0.44
11,266,5.8,7,3.33,3.03,208,1016.7,19.7,18.9,15.7,0.39
12,270,5.7,6.5,3.45,3.03,203,1017,19.5,18.9,16,0.39
13,270,5.1,6.3,3.33,3.21,222,1017.2,19.6,19,15.7,0.43
14,254,5.3,6.4,3.57,3.49,215,1017,19.7,19,15.7,0.59
15,235,5.4,6.3,4,3.34,196,1016.9,19.8,19.1,16.2,0.49
16,225,5.1,5.6,4,3.39,184,1016.9,20.2,19.2,16.7,0.51
17,205,5.5,6.3,4,3.25,185,1016.3,20.6,19.3,16.8,0.42
18,193,5.6,6.6,3.7,3.09,174,1015.8,20.6,19.4,17.3,0.4
19,179,5.4,6.2,3.7,2.97,172,1015.3,20.8,19.5,17.7,0.37
20,182,5.1,5.8,3.57,2.99,162,1015,21.3,19.6,17.2,0.37
21,182,6.4,7.1,3.57,3,155,1014.1,21.6,19.7,16.9,0.3
22,168,5.8,6.4,2.86,2.83,151,1013.3,21.8,19.7,16.4,0.33
23,158,4.9,5.5,3.33,2.87,146,1013.1,21.8,19.7,16.4,0.37
0,160,4.9,5.6,2.94,2.89,156,1012.7,21.5,19.6,17.6,0.32
1,162,5.2,6.2,3.03,2.86,155,1012.5,21.5,19.6,18.7,0.32
2,157,5.1,5.8,3.13,2.84,156,1012.9,21.5,19.6,18.9,0.3
3,147,5.5,6.3,3.33,3,152,1012.3,21.6,19.6,18.4,0.33
4,155,6.9,8.2,3.23,3.03,150,1011.4,21.6,19.5,18.3,0.35
5,151,5.8,6.4,3.57,3.23,146,1011.2,21.2,19.5,19,0.53
6,165,6,6.8,3.57,3.2,142,1010.5,21.1,19.5,19.4,0.48
7,163,5.5,6.3,3.7,3.18,143,1010,21.1,19.5,19.7,0.44
8,277,7.1,9.3,3.57,3.17,142,1010.2,21.6,19.5,20.1,0.4
9,299,9.4,11.3,3.45,2.94,195,1010.7,22,19.5,16.6,0.41
10,331,4.4,5,3.13,3,221,1011.4,19.5,19.4,18.1,0.48
11,304,2.1,2.6,4.35,3.76,282,1011.7,19.5,19.4,18.9,0.67
12,90,3.4,8.1,4.17,3.43,238,1009,19.7,19.4,18.6,0.43
13,131,3.5,4,3.57,3.29,188,1008.7,19.5,19.4,18.7,0.34
14,130,9.4,11.2,3.7,2.88,146,1009.3,19.8,19.4,19,0.36
15,156,7.9,9.2,3.45,3.15,133,1009.9,19.9,19.4,18.9,0.64
16,170,8.4,9.8,3.7,3.37,132,1010.1,20.2,19.5,19,0.73
17,160,7.2,8.6,4,3.46,113,1010.4,20.3,19.5,19.2,0.74
18,134,4.5,6.1,3.85,3.43,104,1010.1,20.5,19.6,19.4,0.64
19,139,3.8,4.2,3.85,3.39,98,1010,20.6,19.9,19.7,0.52
20,165,3.5,4.3,3.7,3.2,101,1010,20.9,20,19.8,0.41
21,160,3.3,3.9,3.45,3.13,100,1009.9,21.1,20.1,19.5,0.35
22,157,2.7,3.2,3.45,3.02,110,1009.9,21.1,20.2,19.4,0.3
23,146,2.5,2.8,3.23,3,116,1009.8,21.5,20.2,19.2,0.26
9,200,8.2,10.7,5,3.85,208,1012.4,21.1,20.2,20.4,1.04
10,159,10.8,13.5,4.35,3.45,208,1011,21.6,20.2,19.3,0.77
11,186,7.4,8.8,3.7,3.49,150,1010.8,21.4,20,20.3,0.89
12,210,4.9,6.4,3.85,3.45,143,1011.9,21.2,19.9,20.5,0.76
13,150,5.7,6.5,4,3.35,168,1011.1,20.4,19.8,19.7,0.57
14,316,4.8,5.7,4.35,3.51,197,1014.7,19.8,19.8,19.8,0.6
15,108,11.5,13.7,3.85,3.32,130,1009,19.7,19.7,19.7,0.4
16,144,9.2,11,3.57,3.19,131,1010.1,20.4,19.7,19.5,0.62
17,221,11.1,14.7,3.85,3.43,122,1011.6,20.7,19.7,19.9,0.69
20,276,2.5,4.4,4.17,3.65,157,1010.3,21.8,19.8,20.1,0.71
21,209,5,6,4.76,3.88,151,1011.3,21.2,19.8,20.1,0.88
22,228,7.8,9.2,5,3.82,155,1011.8,21.9,19.8,20.5,0.88
23,223,5.6,6.3,4.76,3.86,159,1012.1,21.9,19.8,20.5,0.83
0,211,4,4.3,4.55,3.81,155,1012.4,21.4,19.8,20.7,0.7
1,190,3.2,3.5,4.35,3.82,156,1011.9,21.4,19.7,20.8,0.64
2,166,5.4,6.2,4.35,3.67,156,1011.9,21.2,19.7,20.8,0.52
3,186,4.2,4.8,4.17,3.48,148,1011.6,21.1,19.7,20.7,0.45
4,187,6.4,7.1,4.17,3.24,148,1011.3,21.7,19.7,21.2,0.37
5,205,7.7,11.1,3.23,3.1,151,1010.8,22.8,19.7,22.1,0.41
6,201,5.2,6,3.7,3.23,153,1010.8,22.3,19.7,21.8,0.6
7,234,5.9,6.9,3.13,3.03,156,1011.1,21.7,19.7,21,0.4
8,261,6.7,7.8,3.85,3.03,172,1011.1,22.1,19.7,20.7,0.42
9,256,4.2,4.7,3.57,3.21,188,1011.8,21.5,19.7,20.7,0.42
10,284,4.8,5.5,4,3.44,192,1012.1,21.2,19.7,20.6,0.4
11,291,4.7,5.3,4,3.39,201,1012.6,20.9,19.7,20.6,0.37
12,292,4.1,4.7,3.85,3.26,200,1013.2,20.9,19.7,20.5,0.34
13,273,2.8,3.3,4,3.33,181,1013.9,20.5,19.7,20.1,0.34
14,248,2.2,2.6,3.85,3.56,196,1014.5,20.4,19.8,20.1,0.36
15,27,2.2,3.2,3.45,3.31,218,1015,20.2,19.9,19.9,0.3
16,28,2.3,2.8,3.33,3.1,204,1014.8,20.1,20.3,20,0.25
4,23,4.2,4.8,4.55,3.81,22,1016.8,19.6,20.4,18.9,0.31
5,16,3.2,3.6,4.17,3.55,24,1016.9,19.3,20.3,18.5,0.37
6,6,4,4.7,5.26,3.79,15,1017.1,19.1,20.2,18.4,0.42
7,351,2.7,3.2,4.17,3.63,26,1017.3,19,20.1,18.2,0.45
8,351,3,3.4,5,3.69,18,1017.4,19,20,17.8,0.44
9,351,2.2,2.5,3.85,3.67,24,1017.6,19.2,20,17.8,0.44
10,336,6,6.8,4.17,3.62,28,1017.9,18.8,19.9,16,0.41
11,334,7.2,8.2,2.6,3.1,360,1018.1,18.1,19.9,15.6,0.47
12,333,6.2,7.5,3.7,3.55,327,1018.4,17.9,19.8,15.4,0.64
13,326,6.4,7.8,3.7,3.52,344,1018.7,17.9,19.8,15.8,0.65
14,321,3.8,5.6,4.17,3.58,357,1018.7,18.3,19.9,16.7,0.66
15,4,8.4,9.8,4.17,3.47,347,1018.9,18.1,20,16.1,0.78
16,356,7.6,8.7,4.17,3.7,3,1019.2,18.2,20,15.3,0.85
17,359,7.9,9.3,4.55,3.8,16,1019.4,18.1,20,15,0.85
18,357,6.9,8.4,4.76,3.77,19,1019.8,18.1,20,15.2,0.83
19,350,6.9,7.9,4.55,3.94,22,1020,18.1,20,15.2,0.92
20,353,6.8,8,4.76,3.85,18,1019.8,18.3,20,15.5,0.83
21,349,6.1,7.2,4.76,3.83,31,1020,18.3,20,15.8,0.8
22,360,6.6,7.5,4.76,3.76,27,1019.9,18.4,20,15.4,0.71
23,4,6.6,7.7,4.76,3.68,18,1020,18.4,20,15.7,0.7
0,360,5.2,6,4.55,3.71,29,1020,18.4,19.9,15.3,0.75
1,349,3.2,4,5,3.75,19,1020.1,18.2,19.9,15.6,0.63
2,354,2.4,3,4.35,3.78,27,1020.3,18.3,19.9,15.4,0.56
3,346,1.8,2.4,4.55,3.78,30,1020.3,18.3,19.9,15.6,0.55
4,300,1.4,1.8,4.76,3.94,43,1020.5,18.4,19.8,15.9,0.56
5,285,3.4,4.1,5,4.03,30,1020.7,18.5,19.8,16.1,0.55
6,300,3.6,4.1,5,3.87,43,1020.7,18.8,19.8,16.7,0.48
7,299,4,4.6,4.55,3.98,30,1020.5,19,19.8,17,0.5
8,293,4.1,4.9,5.26,4.14,25,1020.3,19.1,19.8,17,0.48
9,312,4.2,4.8,5.26,3.91,30,1020.4,19,19.7,17.4,0.44
10,333,3.8,4.6,5.26,3.86,38,1020.8,19.3,19.7,17.2,0.43
11,337,3.9,4.5,5.26,3.64,34,1021.1,19.4,19.7,16.8,0.37
12,331,3.9,4.6,5.26,3.57,34,1021.1,19.4,19.7,16.7,0.35
13,335,3.1,3.7,4.76,3.62,29,1021.1,19.4,19.8,16.8,0.33
14,320,3.2,3.8,4.76,3.53,26,1021.2,19.3,19.9,16.9,0.3
15,290,1.8,2.3,5,3.48,17,1021,19.4,20.2,17.1,0.29
16,240,2.8,3.3,4.35,3.41,333,1020.5,19.5,20.4,17.3,0.26
21,178,6,6.8,2.47,2.53,157,1017,20.9,20.6,17,0.28
22,178,6,6.9,2.6,2.64,156,1016.4,21,20.6,17.6,0.32
23,187,5.7,6.7,2.86,2.7,155,1015.9,21.2,20.5,18.2,0.34
0,193,5.1,5.9,2.6,2.61,156,1015.4,21.1,20.5,18.9,0.29
1,206,4.6,5.7,2.74,2.65,159,1015.4,21.2,20.4,19.5,0.26
5,241,12.1,14.8,2.74,2.62,209,1011.4,21.5,20.1,19.4,0.25
6,345,7.4,10.5,3.85,3.71,227,1013.2,23.6,20,19.2,1.09
7,351,6.9,8.2,5,3.85,243,1013.6,21.8,20,18.6,0.82
8,357,8.2,9.7,4.55,3.56,255,1014,20,20.1,18.9,0.76
9,5,9.8,11.4,3.85,3.51,329,1014.1,19.5,20.1,18.2,0.89
10,2,8.1,9.5,4.17,3.58,353,1014.6,19.5,20,18,0.82
11,9,9.3,10.9,4.55,3.85,355,1014.6,19.2,20,17.6,1.01
12,10,10.1,11.7,4.76,4.02,10,1015.3,18.9,20,17.6,1.19
13,7,11.7,13.7,5.26,4.19,18,1015.8,18.5,19.9,17.2,1.3
14,6,9.3,11.3,5.26,4.53,17,1016.3,18.3,19.9,17.1,1.5
15,12,9.9,11.7,5.56,4.97,18,1016.4,18.1,19.8,16.9,1.94
16,10,9.6,11.3,5.88,4.76,21,1016.8,17.8,19.8,16.6,1.61
17,7,9.2,11.2,6.25,4.95,24,1016.7,17.9,19.8,16.4,1.61
18,7,9.2,10.9,6.25,4.84,27,1016.9,17.7,19.8,15.7,1.58
19,3,9,10.3,6.67,4.98,25,1017,17.5,19.9,15.4,1.6
20,4,10.1,11.6,6.67,5.01,22,1016.9,17.6,19.9,15.5,1.58
21,7,9.3,11,6.67,5.13,20,1016.9,17.5,19.9,14.8,1.75
22,7,9.3,10.8,6.67,5.04,29,1016.6,17.7,19.9,15.1,1.64
23,1,8.7,10.1,6.67,5.09,26,1016.6,17.9,19.9,14.9,1.68
0,3,9.7,11.6,6.25,4.86,29,1016.4,18.1,19.8,14.3,1.59
1,8,8.6,10,6.67,4.77,29,1016.5,17.9,19.8,15.2,1.48
2,14,9.4,11,6.67,4.79,30,1016.5,17.8,19.7,15.5,1.51
3,13,8.8,10.2,5.88,4.58,33,1016.8,17.9,19.7,15.3,1.62
4,19,7.8,9.1,5.88,4.36,24,1017.1,18.1,19.7,15.7,1.3
5,21,6.7,7.8,6.25,4.34,20,1016.8,18.3,19.6,15.7,1.22
6,16,6.6,7.4,5.88,4.25,25,1016.6,18.3,19.6,15.6,1.04
7,10,6.1,7.1,5.56,4.31,21,1016.6,18.2,19.6,15.4,0.99
8,17,5.7,6.7,5.88,4.38,22,1016.3,18.1,19.6,15.6,1
9,23,4.6,5.8,5.56,4.2,13,1016.6,18.1,19.5,16.1,0.81
10,22,4.4,5.1,5.88,4.14,7,1016.7,18.2,19.5,16.3,0.68
11,19,4.2,4.8,5.56,4.1,5,1017.2,18.5,19.5,16.7,0.61
12,41,3.6,5.1,5.56,4.14,358,1017.6,18.7,19.6,16.3,0.57
13,52,3.8,4.7,5.56,4.01,353,1018,18.5,19.6,16.5,0.52
14,49,2.6,3.3,5,4.03,352,1018.4,18.3,19.7,16.2,0.51
15,34,2.4,3.5,5,3.91,4,1018.4,18.1,19.9,15.9,0.49
16,32,2.6,3.4,5,3.78,12,1018.6,18.3,20,16.2,0.46
17,42,2.5,3.4,4.76,3.72,1,1018.5,18.7,20,16.1,0.43
18,21,2.7,3.9,4.55,3.64,16,1018.1,18.9,20.2,16.1,0.43
19,22,3.3,4,4.55,3.64,17,1017.5,18.9,20.4,16.6,0.42
20,15,2.2,2.6,4.35,3.73,11,1017.4,18.9,20.5,16.6,0.45
21,8,2.8,3.6,4.35,3.76,29,1017.4,19,20.7,16.7,0.44
22,24,2.6,3.7,4.55,3.69,22,1017.1,19.2,20.6,16.8,0.44
23,13,2.1,2.8,4.35,3.67,14,1017.1,19.2,20.5,16.6,0.44
0,2,2.1,2.6,4.55,3.63,25,1017.1,19.3,20.4,16.8,0.38
1,42,2.1,2.5,4.76,3.67,14,1016.8,19,20.4,16.8,0.39
2,60,2.2,2.7,4.76,3.75,357,1017,19.2,20.3,16.4,0.33
3,35,0.9,1.3,5,3.82,356,1017.7,19.2,20.3,16.3,0.31
4,48,1.7,2.1,5,3.75,7,1017.8,19.2,20.3,16.6,0.28
22,25,3,3.3,2.94,2.78,21,1017.7,21.4,21.6,18.8,0.26
23,31,2.3,2.7,3.03,2.87,13,1017.6,21.7,21.6,18.2,0.29
4,276,11.4,13.1,2.6,2.62,232,1016.3,21,21.3,20,0.28
5,189,11.1,13.3,3.57,3.28,187,1009.1,21.9,20.9,19.8,0.79
6,274,13.5,16.5,4,3.59,204,1012.2,21.4,20.6,19.6,0.98
7,333,5.2,7.8,4.55,3.83,260,1015.5,20.7,20.4,19.5,0.97
8,271,3.6,4.4,4.35,3.77,207,1015.5,20.5,20.4,19.8,0.86
9,278,3.8,4.5,4.35,3.74,224,1015.4,20.4,20.4,19.8,0.78
10,275,5.2,6.4,4.17,3.62,209,1016.6,20.7,20.3,19.8,0.62
11,288,5.6,6.7,4.17,3.24,241,1017,20.8,20.4,19.4,0.64
12,207,9.5,10.7,4.17,3.19,218,1014.2,20.2,20.4,19.5,0.45
13,192,7,8.1,4,3.02,171,1014.1,21.2,20.3,19.3,0.46
14,211,6.8,8.8,3.45,3.13,167,1014.2,21.1,20.3,19.6,0.51
15,256,5.2,6.5,3.85,3.34,175,1014.8,21.1,20.4,20.1,0.56
16,344,1,1.5,4.55,3.73,207,1015,21,20.5,20.3,0.69
17,69,1.1,1.5,4.76,3.99,199,1015,21.5,21.6,20.3,0.73
18,89,1.8,2.2,4.76,4.05,151,1014.7,21.5,21.7,20.5,0.68
19,106,2.5,3,4.76,4.12,159,1014.6,21.8,21.9,20.8,0.71
20,133,2,2.3,5.26,4.21,158,1014.8,22.2,22,21.2,0.73
21,107,1.5,2,4.76,3.97,159,1014.5,22.5,22.3,21.4,0.62
22,133,2.5,2.7,4.76,3.72,150,1014.2,22.6,22.2,21.3,0.52
23,124,1.8,2.1,3.7,3.52,161,1014.3,22.6,22.3,21.3,0.43
0,145,1.6,1.7,4,3.29,157,1014.3,22.7,22.2,21.3,0.35
1,214,2.1,2.4,3.7,3.2,156,1014.6,22.2,22.1,21.7,0.26
4,101,5.7,6.9,2.6,2.57,106,1010.7,22.6,21.4,21.7,0.33
5,102,5.9,6.9,2.94,2.77,109,1010.3,22.3,21.3,20.9,0.36
6,101,6.9,8,3.23,3.04,111,1010.2,22.2,21.2,21.5,0.48
7,145,6.4,7.6,3.57,3.31,104,1009.3,22.2,21.1,21.7,0.67
9,205,4.2,4.8,3.85,3.37,95,1008,21.6,21,18.7,0.63
10,215,3.6,4.8,4,3.54,106,1008,21.5,21,18.6,0.64
11,227,3.8,4.8,4.55,3.9,138,1008.4,21.6,21,18.4,0.81
12,318,2.6,3.1,4.76,3.91,190,1008.5,21.8,20.9,18,0.72
13,338,3.2,4,4.76,4.02,211,1009,21.4,21,17.7,0.61
14,331,3.1,3.7,4.76,3.92,213,1009.1,21.3,21,17.5,0.48
15,309,4.3,4.9,4.55,3.86,212,1010,21.4,21,17.5,0.43
16,315,2.1,2.4,5.56,4.41,205,1009.5,21.5,21.2,17.5,0.49
17,334,3.3,4.3,5,4.29,212,1009.8,21.4,21.2,17.9,0.46
18,316,3.5,4,4.76,3.9,215,1009.6,21.2,21.1,17.9,0.38
19,321,4.2,4.7,4.55,3.64,217,1009.5,21.3,21.2,18.2,0.35
20,348,4,4.6,4.17,3.3,217,1009.2,21.2,21.3,19,0.33
21,356,2.7,3.5,4,3.16,217,1009.5,21.2,21.5,18.5,0.3
7,180,5,5.4,3.03,2.84,157,1007.3,11.6,3.8,11.5,0.33
8,178,4.5,4.9,3.03,3.02,160,1007.5,11.8,3.8,11.7,0.34
9,173,4.9,5.2,3.03,2.85,172,1007.3,9.3,3.8,9.2,0.26
1,46,4.4,4.8,4.35,3.45,133,1010.2,13,9,11.6,0.49
2,67,4.5,5,3.7,3.04,84,1010.7,13.5,9,12.3,0.33
12,88,5.1,5.4,2.94,2.81,89,1007.4,14.2,8.1,13.1,0.25
14,91,4.3,4.5,2.86,2.81,100,1006.7,13.7,8.2,13.1,0.28
11,208,6,6.6,2.86,2.68,162,1003.8,13.4,8.9,13.3,0.25
12,202,5.2,6.3,2.86,2.73,161,1004.4,13.1,8.8,13,0.29
13,197,4.4,4.7,2.94,2.79,157,1004.6,12.6,8.8,12.5,0.27
14,189,4.8,5.3,3.33,2.99,146,1005,13,8.9,12.8,0.31
15,181,4.6,5.1,3.23,2.97,149,1005.2,13.1,9,12.5,0.26
